driver,team,full_throttle_pct,heavy_brake_pct,avg_corner_speed,throttle_smoothness,coast_pct,high_speed_pct,max_speed,brake_aggression,cluster,pca_x,pca_y,archetype,color,full_throttle_pct_norm,heavy_brake_pct_norm,avg_corner_speed_norm,throttle_smoothness_norm,coast_pct_norm,high_speed_pct_norm
PIA,McLaren,60.080000000000005,14.476666666666667,173.29333333333332,40.07,5.705000000000001,29.446666666666662,318.5,2.5383333333333336,1,-0.5809964170576501,-2.2552327269085213,Calculated Racers,#FF8000,51.25952260030475,47.2463768115942,68.13741115657977,89.47919143876337,98.46153846153848,54.501840168243945
RIC,RB,60.932500000000005,16.59,165.9,39.95,4.092499999999999,26.8625,320.25,2.7775,1,-0.7178884472717848,-0.7250907210880863,Calculated Racers,#6692FF,55.805611985779606,55.70938215102975,54.761576566874865,88.28061831153391,73.65384615384615,47.3688880126183
RUS,Mercedes,62.873333333333335,16.046666666666667,164.46166666666667,39.04333333333334,4.0616666666666665,29.218333333333334,321.6666666666667,2.5816666666666666,1,0.17816181805224535,-0.9397342007761937,Calculated Racers,#27F4D2,66.1554088369731,53.53356216628528,52.1593797113935,79.22473246135556,73.17948717948718,53.8715825446898
SAI,Ferrari,61.8675,17.3875,157.86,37.7175,2.08,28.945,321.5,3.025,3,0.04098351611106641,0.8260255600256536,Tire Whisperers,#E8002D,60.79164550533265,58.903032036613276,40.21580874434635,65.98216409036863,42.69230769230769,53.11711356466877
SAI,Williams,56.16,27.65,176.71,39.56,4.3,21.92,336.0,3.87,3,-1.1029403335664494,2.0219281361049197,Tire Whisperers,#64C4FF,30.35551041137631,100.0,74.318759422787,84.38525564803808,76.84615384615385,33.72634069400631
SAR,Williams,56.093333333333334,19.636666666666667,152.21333333333334,41.123333333333335,3.966666666666667,20.57,309.6666666666667,3.2133333333333334,3,-3.8572213291698136,0.4794985383256607,Tire Whisperers,#64C4FF,30.0,67.90999237223494,30.0,100.0,71.71794871794873,30.0
STR,Aston Martin,62.116,17.516,164.99,39.372,4.023999999999999,25.913999999999998,318.4,3.188,3,-0.9349088922802945,0.0825151846914745,Tire Whisperers,#229971,62.116810563737936,59.41762013729977,53.11522722377774,82.50749108204519,72.6,44.75078864353312
TSU,RB,61.9025,16.322499999999998,162.54500000000002,39.815,4.135,28.1825,318.25,2.7575,1,-0.6813968199015178,-0.7856180581560016,Calculated Racers,#6692FF,60.97828847130525,54.638157894736835,48.69179409864314,86.93222354340068,74.3076923076923,51.01242113564669
VER,Red Bull Racing,61.705999999999996,16.384,166.668,40.198,3.95,27.628000000000004,321.8,2.996,1,-0.579266502153878,-0.5276151153371865,Calculated Racers,#3671C6,59.93042153377347,54.88443935926774,56.15102304544476,90.7576694411415,71.46153846153847,49.48186119873818
ZHO,Kick Sauber,59.0175,18.435,159.43,40.275,3.3274999999999997,26.505,319.25,3.0425,3,-1.4987197094382614,0.1456918132756016,Tire Whisperers,#52E252,45.593575418994405,63.09782608695652,43.056213654964466,91.52675386444707,61.88461538461539,46.3820977917981
